country,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,POPNC,RB1_GE,RB1_GE
measure,CPCARSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,PERSA,CPCARSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,US Dollar,US Dollar,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,Persons,US Dollar,US Dollar
powercode,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Thousands,Millions,Millions
reference_period,,2015,,,,2015,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q1,1162158.9,,,,,,,,694195.6,,,,,,173852.4,,,,,,288601.8,,,,,,114156.9,,,,,,109808.0,,,,,,,1160.1,
1961-Q2,1180121.6,,,,,,,,704616.5,,,,,,178090.5,,,,,,288638.7,,,,,,113854.5,,,,,,112069.1,,,,,,,6990.5,
1961-Q3,1204970.6,,,,,,,,712748.1,,,,,,180858.4,,,,,,297042.8,,,,,,115102.1,,,,,,113515.2,,,,,,,12734.4,
1961-Q4,1229414.7,,,,,,,,727013.3,,,,,,184624.6,,,,,,305533.3,,,,,,116169.0,,,,,,115752.2,,,,,,,11826.5,
1962-Q1,1255546.4,15.8,,,,,21.7,7956914.6,740143.6,16.1,,,20.1,4586422.6,190116.1,9.6,,,31.2,1979460.3,313879.2,19.8,,,20.7,1582116.5,117666.9,28.3,,,5.4,416250.7,117206.4,24.1,,,6.0,486522.5,,10947.1,-120813.0
1962-Q2,1271349.2,15.8,1.034333,,,,21.9,8039215.6,752761.6,16.2,1.477637817,,20.4,4654193.3,194938.2,9.7,1.562138344,,31.7,2010382.2,317071.7,19.8,1.190793078,,21.0,1600956.3,119679.2,28.1,2.379117349,,5.5,426153.8,117387.7,23.8,1.336738518,,6.1,493026.0,,4286.2,-159443.9
1962-Q3,1290887.6,15.9,1.298993,,,,22.2,8143644.5,759852.3,16.2,0.764969824,,20.6,4689796.5,199680.9,9.8,1.65293656,,32.2,2043612.5,321874.5,19.8,1.475075613,,21.3,1624571.6,120179.3,27.9,0.917746139,,5.5,430064.8,119006.3,23.7,1.842304611,,6.2,502109.0,,8306.8,-142291.9
