country,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF,OTF
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,RB1_GE,RB1_GE
measure,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,US Dollar
powercode,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Millions
reference_period,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q1,1471965.9,,,,,,898157.8,,,,,,205769.7,,,,,,361899.8,,,,,,171369.3,,,,,,172641.0,,,,,,7410.2,
1961-Q2,1494017.2,,,,,,910119.8,,,,,,210712.6,,,,,,362605.2,,,,,,171224.9,,,,,,174182.1,,,,,,13536.9,
1961-Q3,1522888.5,,,,,,921681.8,,,,,,214364.6,,,,,,372291.5,,,,,,173145.8,,,,,,176032.7,,,,,,17437.5,
1961-Q4,1552778.3,,,,,,939649.4,,,,,,218681.6,,,,,,382099.6,,,,,,175211.9,,,,,,179543.2,,,,,,16679.0,
1962-Q1,1585791.9,15.778673617,,,19.954915961,10050223.2,957018.7,16.362075036,,,19.257465554,5849005.8,224870.4,9.517333446,,,27.087205549,2362745.7,392004.5,19.701668673,,,18.230488779,1989702.2,178689.6,28.286350726,,,4.619496836,631716.5,183134.9,26.044726906,,,5.177489416,703155.4,16343.6,-79791.6
1962-Q2,1606494.2,15.814604555,1.075321,,20.169495284,10158295.3,972970.0,16.393542835,1.471619056,,19.540862087,5935080.9,230635.9,9.609867467,1.576348268,,27.514194244,2399990.8,396360.7,19.669007212,1.279148668,,18.463683833,2015153.4,180871.0,28.210928955,1.491390582,,4.688391577,641137.9,182636.5,25.83707883,0.529374093,,5.204897704,706877.7,8293.2,-126190.0
1962-Q3,1632619.5,15.851693957,1.388443,,20.449537291,10299337.5,984111.2,16.428278313,0.931208565,,19.722828268,5990348.8,236100.3,9.678536234,1.642951649,,27.966239152,2439421.4,403010.8,19.6980117,1.528081597,,18.745823988,2045946.6,181669.8,28.01039773,1.160725103,,4.742810915,648579.7,186903.3,25.754110392,2.665903164,,5.343655237,725722.4,14630.8,-99236.8
1962-Q4,1648087.5,15.88638737,0.726983,,20.59820187,10374211.8,1004418.1,16.482477195,1.727869437,,20.06361299,6093854.2,240551.2,9.776036665,0.869034139,,28.209275318,2460620.9,405465.1,19.760738193,0.289625498,,18.800116674,2051872.2,182895.0,27.985638842,0.763516434,,4.779023055,653531.8,189330.8,25.592065219,1.94018301,,5.447331928,739802.7,4088.8,-145864.5
1963-Q1,1661947.8,15.95771066,0.390281,3.626559204,20.678592803,10414700.5,1016388.9,16.529670958,0.902897608,5.126849715,20.244766872,6148875.5,243549.0,9.796853078,1.031089157,5.21623593,28.500138097,2485992.0,395806.6,19.8248769,-2.697896907,0.342394161,18.292908908,1996514.8,181798.5,28.200119811,-1.355555882,2.050956949,4.714240727,644672.8,189003.1,26.079992287,-2.040740282,3.064740486,5.336166031,724705.3,13407.9,-136649.4
1963-Q2,1704560.5,15.986540442,2.379065,4.963211104,21.170549913,10662472.9,1035186.5,16.544454807,1.758436838,5.423999303,20.60075831,6256999.6,247400.3,9.866153322,0.867806741,4.48230452,28.747464217,2507565.7,422709.6,19.779703305,7.040913452,6.050867036,19.580896792,2137087.7,191996.4,28.266071736,5.363056915,5.943969469,4.967068141,679246.9,199976.8,25.895438585,6.560165639,9.24762953,5.686227361,772247.1,7244.5,-146179.8
1963-Q3,1745081.9,16.009595049,2.229802,5.834234345,21.642611219,10900224.9,1054411.1,16.605184903,1.484596531,6.002020446,20.906596453,6349890.8,252707.7,9.885474613,1.945650387,4.793459019,29.306789365,2556354.1,436674.4,19.795952215,3.218846373,7.816950544,20.211175778,2205877.3,196312.2,28.243138415,2.330858632,7.169431136,5.082843477,695079.2,205734.6,25.829530501,3.141774625,9.754008254,5.86487581,796509.4,10711.1,-110467.1
1963-Q4,1781805.4,16.135956849,1.304817,6.441367513,21.925007753,11042453.0,1071569.2,16.691082876,1.104263824,5.352213708,21.137460435,6420010.3,257590.2,10.020456727,0.558966634,4.471327983,29.470604539,2570643.3,448273.8,19.875808443,2.243849083,9.917850079,20.664684061,2255373.8,201339.7,28.292388479,2.382445328,8.891281412,5.203939444,711639.1,208149.6,25.906019992,0.875100563,8.607286085,5.916199371,803479.6,11182.1,-111734.0
1964-Q1,1819750.9,16.18467095,1.822207,7.959603248,22.324526747,11243669.3,1092313.1,16.727405207,1.714493528,6.199596974,21.499860826,6530081.0,261289.7,10.086876847,0.768272414,4.199561992,29.697019064,2590392.8,459000.2,19.884173955,2.349741789,15.61994259,21.150250778,2308369.3,207444.8,28.448492838,2.466893933,13.110793846,5.33231511,729194.5,216479.9,26.03020262,3.505929418,14.756870562,6.123617145,831649.1,16183.0,-82719.2
1964-Q2,1846999.0,16.225785407,1.24017,6.758629208,22.601388883,11383109.9,1106344.6,16.741449016,1.199599661,5.616369826,21.757773084,6608415.8,263080.3,10.140669485,0.151198923,3.459283967,29.741920637,2594309.5,466922.0,19.917396248,1.5562025,9.695647431,21.479391509,2344292.2,211536.3,28.304591217,2.490734523,10.02725892,5.465128924,747356.8,218031.1,25.827162531,1.508326664,9.316439534,6.215981295,844193.1,17146.9,-67071.3
1964-Q3,1877186.6,16.292819277,1.216257,5.700183779,22.876279833,11521557.8,1125079.4,16.792810548,1.382368471,5.509979723,22.058545679,6699768.5,267753.5,10.268813809,0.506271118,1.998533578,29.892495391,2607443.7,472865.3,19.941425493,1.150840714,7.497878054,21.726585092,2371271.3,211748.2,28.186874452,0.518216412,8.078286171,5.493450119,751229.7,218318.5,25.785228842,0.294654723,6.29887452,6.234296978,846680.5,18058.7,-61474.9
1964-Q4,1901309.6,16.369954459,0.807805,5.181607527,23.061075605,11614629.5,1138349.7,16.819441832,1.019291145,5.421304278,22.283386481,6768058.6,272784.8,10.37352027,0.85071729,2.294460834,30.146796018,2629625.7,479414.6,19.966539454,1.257495641,6.460838634,21.999795952,2401089.9,219140.0,28.187316538,3.489250028,9.246665718,5.685130328,777442.0,222791.8,25.602350434,2.777913317,8.303996231,6.407480343,870200.6,14412.3,-91386.1
