country,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD
subject,B11,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P51,P52_P53,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,POPNC,POPNC,RB1_GE,RB1_GE
measure,CTQRGPSA,CPCARSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CTQRGPSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,PER,PERSA,CPCARSA,VPVOBARSA
unit,Percentage points,US Dollar,Index,Percentage,Percentage,US Dollar,US Dollar,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,Percentage points,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,Persons,Persons,US Dollar,US Dollar
powercode,Units,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Units,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Thousands,Thousands,Millions,Millions
reference_period,,,2015,,,,2015,2015,2015,,,2015,,,2015,2015,,,2015,,,2015,2015,,,2015,,,2015,2015,,,,2015,,,2015,2015,,,2015,,,2015,2015,,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,1492517.6,14.62541276,,,,,18.904196622,10204960.7,905172.5,,15.154805562,,,18.356065178,5972841.7,210418.2,,8.950431417,,,25.192035908,2350927.7,366017.9,,18.460376618,,,16.828384196,1982721.5,,171384.0,,26.259624642,,,4.250561945,652652.2,173841.0,,24.072755343,,,4.743597267,722148.1,,,13366.0,-32034.3
1962,,1599436.9,14.827925021,5.700101317,5.700101317,,,19.981754982,10786653.8,966340.0,,15.340383321,5.466060247,5.466060247,19.359418759,6299320.8,231124.6,,9.248168608,6.304402727,6.304402727,26.780243307,2499139.7,395237.9,,18.583787786,7.266130226,7.266130226,18.051156507,2126788.7,,179694.6,,26.054535132,5.674440629,5.674440629,4.491757559,689686.5,183707.3,,23.658527289,7.525741243,7.525741243,5.100588123,776495.1,,,10747.1,-51786.8
1963,,1704891.9,15.027498648,5.177634963,5.177634963,,,21.016337315,11345147.3,1030941.3,,15.524654341,5.418847891,5.418847891,20.408476215,6640671.4,248322.8,,9.490091034,4.702159006,4.702159006,28.039492929,2616653.2,422207.4,,18.710475804,6.100302125,6.100302125,19.152331591,2256529.2,,191577.3,,26.201245773,6.015740931,6.015740931,4.761970057,731176.3,198824.1,,23.783717369,7.659044889,7.659044889,5.491244457,835967.2,,,10667.2,-63915.5
1964,,1845155.0,15.285869368,6.397780096,6.397780096,,,22.36091636,12070984.9,1104390.4,,15.726411378,5.750155454,5.750155454,21.581995323,7022520.4,264319.9,,9.810636135,2.964284509,2.964284509,28.870663275,2694218.2,465966.6,,18.830920951,9.658486171,9.658486171,21.002156889,2474475.8,,211343.9,,26.25656766,10.085380993,10.085380993,5.24223288,804918.2,217345.4,,23.70334821,9.686078731,9.686078731,6.023130719,916939.7,,,16479.5,-8208.0
