country,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD
subject,B11,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P51,P52_P53,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,POPNC,POPNC,RB1_GE,RB1_GE
measure,CTQRGPSA,CPCARSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CTQRGPSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,PER,PERSA,CPCARSA,VPVOBARSA
unit,Percentage points,US Dollar,Index,Percentage,Percentage,US Dollar,US Dollar,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,Percentage points,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,Persons,Persons,US Dollar,US Dollar
powercode,Units,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Units,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Thousands,Thousands,Millions,Millions
reference_period,,,2015,,,,,2015,2015,,,2015,,,2015,2015,,,2015,,,2015,2015,,,2015,,,2015,2015,,,,2015,,,2015,2015,,,2015,,,2015,2015,,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q1,,1472100.5,,,,,,,,898241.9,,,,,,,205768.1,,,,,,,361873.5,,,,,,,,171365.5,,,,,,,172591.7,,,,,,,,,7443.3,
1961-Q2,,1493807.7,,,,,,,,909965.1,,,,,,,210673.6,,,,,,,362527.3,,,,,,,,171184.2,,,,,,,174095.9,,,,,,,,,13553.4,
1961-Q3,,1523017.5,,,,,,,,921742.2,,,,,,,214382.0,,,,,,,372273.1,,,,,,,,173175.1,,,,,,,176015.5,,,,,,,,,17460.6,
1961-Q4,,1552821.8,,,,,,,,939659.1,,,,,,,218669.2,,,,,,,382055.4,,,,,,,,175199.3,,,,,,,179480.8,,,,,,,,,16719.7,
1962-Q1,,1585728.2,15.0,,,,,19.7,10584350.0,956962.9,,15.5,,,19.0,6169045.1,224846.2,,9.0,,,26.8,2503518.7,391942.7,,18.8,,,17.9,2088662.3,,178668.0,,26.4,,,4.4,676935.4,183060.0,,24.1,,,5.0,759058.6,,,16368.4,-94752.8
1962-Q2,,1606566.5,15.0,1.075299564,,,,19.9,10698163.5,973013.9,,15.5,1.471544195,,19.3,6259825.3,230630.1,,9.1,1.576463988,,27.3,2542985.7,396320.9,,18.7,1.278794413,,18.1,2115372.0,,180869.3,,26.3,1.491039162,,4.5,687028.8,182584.6,,23.9,0.534149872,,5.0,763113.1,,,8316.9,-143935.2
