,id,name
0,B1_GA,Gross domestic product at market prices - output approach
1,B1_GE,Gross domestic product - expenditure approach
2,B1_GS1,Gross domestic product
3,B1G,"Gross value added at basic prices, total activity"
4,B5_GS1,Gross national income at market prices
5,B6GS1,Gross national disposable income
6,B8GS1,Gross saving
7,B9S1,Net lending/net borrowing
8,D1_D4NFRS2,Net primary incomes from the rest of the world
9,D21_D31,Taxes less subsidies on products
10,D5_D7NFRS2,Net current transfers from the rest of the world
11,D9NFRS2,Net capital transfers from the rest of the world
12,P3,Final consumption expenditure
13,P31S14_S15,Private final consumption expenditure
14,P3S1,Final consumption expenditure
15,P3S13,General government final consumption expenditure
16,P5,Gross capital formation
17,P51,Gross fixed capital formation
18,P52_P53,Changes in inventories and acquisitions less disposals of valuables
19,P5S1,Gross capital formation
20,P6,Exports of goods and services
21,P7,Imports of goods and services
22,RB1_GE,Residual item
23,RB9S1,Residual item
24,B11,External balance of goods and services
25,B1GVA,"Agriculture, forestry and fishing (ISIC Rev.4)"
26,B1GVF,Construction (ISIC Rev.4)
27,B1GVJ,Information and communication (ISIC Rev.4)
28,B1GVM_N,"Prof., scientif., techn. activ.; admin., support service activ.(ISIC Rev.4)"
29,B1GVO_Q,Public admin.; compulsory s.s.; education; human health (ISIC Rev.4)
30,B1GVC,of which: Manufacturing (ISIC Rev.4)
31,B1GVG_I,"Distrib. trade, repairs; transp.; accommod., food serv. activ. (ISIC Rev.4)"
32,B1GVK,Financial and insurance activities (ISIC Rev.4)
33,B1GVB_E,"Industry, including energy (ISIC Rev.4)"
34,B1GVG_U,Services (ISIC Rev.4)
35,B1GVL,Real estate activities (ISIC Rev.4)
36,PPPGDP,add. Purchasing power parity of GDP
37,K2S1,Acquisitions less disposals of non-financial non-produced assets
